,ID,Project_Code,PQ,PO/SO,ASN/DN,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule/Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,Weight_(Kilograms),Freight_Cost_(USD),Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
1059,84010,107-RW-T30,FPQ-5394,SO-36580,DN-1870,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,3/25/10,N/A - From RDC,15-Jul-10,7-Jul-10,7-Jul-10,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,5869,65850.18,11.22,0.19,Mylan (formerly Matrix) Nashik,Yes,758,8929.51,141.97,8929.51,758
1060,20558,101-CD-T30,FPQ-16001,SCMS-280220,ASN-32231,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,3/10/15,3/17/15,23-Jul-15,23-Jul-15,29-Jul-15,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,100,8000.0,80.0,0.8,"Alere Medical Co., Ltd.",No,See ASN-32231 (ID#:13648),See ASN-32231 (ID#:13648),9.42,See ASN-32231 (ID#:13648),See ASN-32231 (ID#:13648)
1061,76833,109-TZ-T30,FPQ-9211,SCMS-135870,ASN-13850,Tanzania,PMO - US,Direct Drop,EXW,Air,1/25/12,1/27/12,7-Mar-12,7-Mar-12,7-Mar-12,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,2072,165760.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,989,17512.52,232.4,17512.52,989
1062,3040,110-ZM-T01,Pre-PQ Process,SCMS-18070,ASN-1576,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/25/08,22-Apr-08,5-May-08,5-May-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,2000,143980.0,71.99,0.72,Inverness Japan,Yes,455,4113.16,230.37,4113.16,455
1063,11933,112-NG-T01,Pre-PQ Process,SO-2728,DN-917,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,24-Sep-08,24-Sep-08,24-Sep-08,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,4,105.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",No,See DN-917 (ID#:10745),See DN-917 (ID#:10745),0.17,See DN-917 (ID#:10745),See DN-917 (ID#:10745)
1064,82877,114-UG-T30,FPQ-5238,SO-36080,DN-1765,Uganda,PMO - US,From RDC,N/A - From RDC,Air,3/2/10,N/A - From RDC,26-May-10,12-Apr-10,12-Apr-10,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,5000,13650.0,2.73,0.05,"Aurobindo Unit III, India",Yes,861,7383.9,29.43,7383.9,861
1065,84554,151-NG-T30,FPQ-4537,SO-36007,DN-1793,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,11/6/09,N/A - From RDC,31-May-10,18-May-10,18-May-10,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,40000,448800.0,11.22,0.19,"Aurobindo Unit III, India",Yes,4693,9736.1,967.61,9736.1,4693
1066,85359,114-UG-T30,FPQ-11133,SO-43872,DN-3137,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,12/13/12,N/A - From RDC,28-Jun-13,15-May-13,15-May-13,ARV,Pediatric,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,5861,24323.15,4.15,0.07,Mylan (formerly Matrix) Nashik,Yes,345,3426.68,30.09,3426.68,345
1068,84345,111-MZ-T30,FPQ-13123,SO-47083,DN-3580,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,10/21/13,N/A - From RDC,15-Apr-14,14-Apr-14,17-Apr-14,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,54997,454275.22,8.26,0.14,"Aurobindo Unit III, India",No,See DN-3580 (ID#:83772),See DN-3580 (ID#:83772),466.99,22890.82,28696
1070,84322,103-SS-T30,FPQ-13173,SO-47110,DN-3493,South Sudan,PMO - US,From RDC,N/A - From RDC,Air,10/28/13,N/A - From RDC,22-Jan-14,11-Feb-14,13-Feb-14,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,378,854.28,2.26,0.04,"Aurobindo Unit III, India",Yes,613,6333,0.88,6333,613
1071,34727,133-NG-T30,FPQ-12456,SCMS-196561,ASN-22351,Nigeria,PMO - US,Direct Drop,EXW,Air,6/10/13,7/10/13,7-Nov-13,11-Nov-13,17-Nov-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,3038,270382.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,1234,21084.84,334.46,21084.84,1234
1072,85859,111-MZ-T30,FPQ-9506,SO-41760,DN-2663,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,3/16/12,N/A - From RDC,3-Jul-12,28-Jun-12,28-Jun-12,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,33156,257953.68,7.78,0.13,Mylan (formerly Matrix) Nashik,No,See DN-2663 (ID#:82478),See DN-2663 (ID#:82478),361.65,See DN-2663 (ID#:82478),See DN-2663 (ID#:82478)
1073,83731,151-NG-T30,FPQ-11864,SO-44934,DN-3370,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,3/14/13,N/A - From RDC,31-Oct-13,14-Oct-13,24-Oct-13,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,12000,102960.0,8.58,0.14,"Cipla, Goa, India",Yes,1749,20225.07,127.36,20225.07,1749
1074,10634,112-NG-T01,Pre-PQ Process,SO-1109,DN-422,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,9-Nov-07,9-Nov-07,9-Nov-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,7436,100386.0,13.5,0.22,"Aurobindo Unit III, India",Yes,962,5180,160.62,5180,962
1075,83981,104-CI-T30,FPQ-4378,SO-34410,DN-1662,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,10/15/09,N/A - From RDC,9-Mar-10,1-Mar-10,1-Mar-10,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,2066,20804.62,10.07,0.11,"Aurobindo Unit III, India",Yes,1560,3688.33,40.78,3688.33,1560
1076,46848,108-VN-T30,FPQ-10286,SCMS-156250,ASN-17673,Vietnam,PMO - US,Direct Drop,EXW,Air,7/25/12,8/15/12,4-Feb-13,4-Feb-13,4-Feb-13,ARV,Pediatric,MICRO LABS LIMITED,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,298,1317.16,4.42,0.05,"Micro labs, Verna, Goa, India",No,See ASN-17673 (ID#:36978),See ASN-17673 (ID#:36978),1.85,See ASN-17673 (ID#:36978),See ASN-17673 (ID#:36978)
1077,56837,106-HT-T30,FPQ-15038,SCMS-277520,ASN-30803,Haiti,PMO - US,Direct Drop,EXW,Air,10/22/14,2/19/15,12-Mar-15,12-Mar-15,13-Mar-15,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,2000,39000.0,19.5,0.65,Mylan (formerly Matrix) Nashik,Yes,280,3029.18,40.09,3029.18,280
1078,31177,117-ET-T30,FPQ-9096,SCMS-133380,ASN-16134,Ethiopia,PMO - US,Direct Drop,EXW,Air,1/5/12,1/23/12,5-Sep-12,5-Sep-12,5-Sep-12,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,44,1276.0,29.0,1.45,Chembio Diagnostics Sys. Inc.,Yes,15,218.75,1.79,218.75,15
1079,83686,151-NG-T30,FPQ-11022,SO-44262,DN-3172,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,11/15/12,N/A - From RDC,28-May-13,10-May-13,10-May-13,ARV,Adult,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,120000,1262400.0,10.52,0.35,Hetero Unit III Hyderabad IN,Yes,17470,20666.07,1561.59,20666.07,17470
1080,86448,101-CD-T30,FPQ-8840,SO-41144,DN-2508,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,11/21/11,N/A - From RDC,16-Mar-12,14-Mar-12,14-Mar-12,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,36,218.88,6.08,0.2,Mylan (formerly Matrix) Nashik,No,See DN-2508 (ID#:85821),See DN-2508 (ID#:85821),0.31,See DN-2508 (ID#:85821),See DN-2508 (ID#:85821)
1081,50235,113-ZW-T30,FPQ-15380,SCMS-266490,ASN-31132,Zimbabwe,PMO - US,Direct Drop,EXW,Air,11/17/14,1/26/15,14-May-15,14-May-15,14-May-15,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",Determine,,Test kit - Ancillary,1,6500,32500.0,5.0,5.0,"Alere Medical Co., Ltd.",No,See ASN-31132 (ID#:36641),See ASN-31132 (ID#:36641),38.25,See ASN-31132 (ID#:36641),See ASN-31132 (ID#:36641)
1082,19940,108-VN-T30,FPQ-13524,SCMS-226251,ASN-27964,Vietnam,PMO - US,Direct Drop,EXW,Air,2/6/14,6/27/14,3-Nov-14,3-Nov-14,3-Nov-14,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,20000,129800.0,6.49,0.11,Mylan (formerly Matrix) Nashik,Yes,1725,3273.14,133.43,3273.14,1725
1083,32499,161-ZA-T30,FPQ-7175,SCMS-103470,ASN-11200,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/11,3/24/11,2-Sep-11,2-Sep-11,2-Sep-11,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,50000,122000.0,2.44,0.08,"Aurobindo Unit III, India",Yes,2953,6409.91,201.3,6409.91,2953
1084,82574,151-NG-T30,FPQ-11022,SO-43842,DN-3148,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,11/15/12,N/A - From RDC,21-May-13,6-May-13,6-May-13,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,57227,129333.02,2.26,0.04,"Strides, Bangalore, India.",Yes,4844,21591.1,159.98,21591.1,4844
1085,65331,106-HT-T30,FPQ-11285,SCMS-176220,ASN-18344,Haiti,PMO - US,Direct Drop,EXW,Air,1/16/13,2/5/13,11-Mar-13,11-Mar-13,11-Mar-13,ARV,Adult,Aurobindo Pharma Limited,"Didanosine 400mg, delayed-release capsules, 30 Caps",Didanosine,Generic,400mg,Delayed-release capsules,30,240,4800.0,20.0,0.67,"Aurobindo Unit III, India",Yes,19,971.7,5.94,971.7,19
1086,22268,101-CD-T30,FPQ-13555,SCMS-234290,ASN-26632,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,3/19/14,5/5/14,22-Aug-14,22-Aug-14,22-Aug-14,ARV,Pediatric,CIPLA LIMITED,"Lamivudine/Zidovudine 30/60mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Tablet - FDC,60,150,322.5,2.15,0.04,"Cipla, Goa, India",Yes,25,1765.03,0.33,1765.03,25
1089,83453,104-CI-T30,FPQ-5623,SO-36890,DN-1984,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,5/7/10,N/A - From RDC,31-Aug-10,23-Aug-10,23-Aug-10,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,3010,5809.3,1.93,0.01,"Aurobindo Unit III, India",Yes,3202,12648.38,12.52,12648.38,3202
1090,84951,113-ZW-T30,FPQ-13508,SO-47540,DN-3825,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,12/24/13,N/A - From RDC,30-Sep-14,29-Jun-14,4-Aug-14,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,48253,105191.54,2.18,0.04,"Strides, Bangalore, India.",No,See DN-3825 (ID#:82702),See DN-3825 (ID#:82702),108.14,43218.07,64918
1093,36219,161-ZA-T30,FPQ-7175,SCMS-103420,ASN-11472,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/11,3/24/11,5-Sep-11,5-Sep-11,5-Sep-11,ARV,Adult,Aurobindo Pharma Limited,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,100000,730000.0,7.3,0.12,"Aurobindo Unit III, India",Yes,5178,14621.3,1204.5,14621.3,5178
1094,75102,161-ZA-T30,FPQ-7175,SCMS-104100,ASN-12991,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/11,3/28/11,12-Jan-12,12-Jan-12,12-Jan-12,ARV,Adult,CIPLA LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,5360,14579.2,2.72,0.05,"Cipla, Goa, India",Yes,583,5824.11,24.06,5824.11,583
1095,83699,114-UG-T30,FPQ-11133,SO-43870,DN-3221,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,12/13/12,N/A - From RDC,31-Jul-13,18-Jul-13,18-Jul-13,ARV,Adult,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,36273,381591.96,10.52,0.35,Hetero Unit III Hyderabad IN,Yes,4846,13743.46,472.03,13743.46,4846
1096,12531,132-NG-T01,Pre-PQ Process,SO-2681,DN-843,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,28-Jul-08,28-Jul-08,28-Jul-08,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,15000,393750.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,1309,7463.74,630.0,7463.74,1309
1097,56957,108-VN-T30,FPQ-13034,SCMS-210120,ASN-24394,Vietnam,PMO - US,Direct Drop,EXW,Air,10/4/13,10/10/13,23-Apr-14,23-Apr-14,23-Apr-14,ARV,Adult,HETERO LABS LIMITED,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,564,6457.8,11.45,0.19,Hetero Unit III Hyderabad IN,No,See ASN-24394 (ID#:16053),See ASN-24394 (ID#:16053),7.99,3658.08,1953
1098,84664,106-HT-T30,FPQ-6801,SO-38213,DN-2310,Haiti,PMO - US,From RDC,N/A - From RDC,Air,12/14/10,N/A - From RDC,19-Jul-11,11-Aug-11,11-Aug-11,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,18958,162090.9,8.55,0.14,Mylan (formerly Matrix) Nashik,No,See DN-2310 (ID#:82968),See DN-2310 (ID#:82968),267.45,See DN-2310 (ID#:82968),See DN-2310 (ID#:82968)
1099,12464,106-HT-T01,Pre-PQ Process,SO-1288,DN-445,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,22-Jan-08,22-Jan-08,22-Jan-08,ARV,Adult,SCMS from RDC,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,20mg,Capsule,60,100,175.0,1.75,0.03,"Aurobindo Unit III, India",No,See DN-445 (ID#:10640),See DN-445 (ID#:10640),0.28,See DN-445 (ID#:10640),See DN-445 (ID#:10640)
1100,85750,104-CI-T30,FPQ-6891,SO-38570,DN-2161,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,12/21/10,N/A - From RDC,30-Jun-11,7-Jun-11,7-Jun-11,ARV,Adult,SCMS from RDC,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,5220,103982.4,19.92,0.66,Mylan (formerly Matrix) Nashik,No,See DN-2161 (ID#:84639),See DN-2161 (ID#:84639),171.57,See DN-2161 (ID#:84639),See DN-2161 (ID#:84639)
1101,15382,102-ML-T30,FPQ-11783,SCMS-182800,ASN-19649,Mali,PMO - US,Direct Drop,EXW,Air,3/15/13,4/11/13,11-Jun-13,11-Jun-13,11-Jun-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,81,6480.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,37,2190.78,8.02,2190.78,37
1102,86253,110-ZM-T30,FPQ-4272,SO-33680,DN-1603,Zambia,PMO - US,From RDC,N/A - From RDC,Air,9/18/09,N/A - From RDC,17-Jan-10,11-Jan-10,11-Jan-10,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,60,80000,304000.0,3.8,0.06,"Strides, Bangalore, India.",Yes,4162,9939.38,595.84,9939.38,4162
1103,85093,106-HT-T30,FPQ-4384,SO-35920,DN-1667,Haiti,PMO - US,From RDC,N/A - From RDC,Air,10/23/09,N/A - From RDC,10-Mar-10,3-Mar-10,3-Mar-10,ARV,Adult,SCMS from RDC,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,20mg,Capsule,60,106,151.58,1.43,0.02,"Aurobindo Unit III, India",No,See DN-1667 (ID#:82861),See DN-1667 (ID#:82861),0.33,See DN-1667 (ID#:82861),See DN-1667 (ID#:82861)
1104,43693,110-ZM-T30,FPQ-15075,SCMS-260230,ASN-30881,Zambia,PMO - US,Direct Drop,EXW,Air,10/15/14,10/22/14,29-May-15,29-May-15,2-Jun-15,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,8000,256000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,2328,14581.51,301.31,14581.51,2328
1105,40479,109-TZ-T30,FPQ-14049,SCMS-239390,ASN-26381,Tanzania,PMO - US,Direct Drop,FCA,Air,4/11/14,5/16/14,30-Sep-14,30-Sep-14,7-Oct-14,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,304,9369.28,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,278,5656.74,9.63,5656.74,278
1106,44363,103-DO-T30,FPQ-11964,SCMS-202650,ASN-21798,Dominican Republic,PMO - US,Direct Drop,EXW,Air,4/10/13,8/12/13,4-Oct-13,4-Oct-13,18-Oct-13,ARV,Adult,EMCURE PHARMACEUTICALS LTD,"Atazanavir 300mg, capsules, 30 Caps",Atazanavir,Generic,300mg,Capsule,30,1902,38040.0,20.0,0.67,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,170,1965.62,47.06,1965.62,170
1108,12166,106-HT-T01,Pre-PQ Process,SO-2753,DN-827,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,16-Jul-08,16-Jul-08,16-Jul-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,1057,3593.8,3.4,0.06,"Aurobindo Unit III, India",Yes,100,1651,5.75,1651,100
1109,85444,104-CI-T30,FPQ-10633,SO-43341,DN-3569,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,9/11/12,N/A - From RDC,31-Mar-14,26-Mar-14,28-Apr-14,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,72300,240759.0,3.33,0.11,"Strides, Bangalore, India.",Yes,4392,18607.76,337.54,18607.76,4392
1110,12112,107-RW-T01,Pre-PQ Process,SO-834,DN-352,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,14-Sep-07,14-Sep-07,14-Sep-07,HRDT,HIV test,SCMS from RDC,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,,Test kit,30,1883,31069.5,16.5,0.55,Premier Med. Corp Ltd. India,Yes,752,4436.76,49.71,4436.76,752
1111,84812,113-ZW-T30,FPQ-11002,SO-43710,DN-3131,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,11/16/12,N/A - From RDC,6-May-13,29-Apr-13,29-Apr-13,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,100000,470000.0,4.7,0.16,Hetero Unit III Hyderabad IN,No,See DN-3131 (ID#:83136),See DN-3131 (ID#:83136),581.39,See DN-3131 (ID#:83136),See DN-3131 (ID#:83136)
1112,83244,104-CI-T30,FPQ-11254,SO-44141,DN-3681,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,12/14/12,N/A - From RDC,15-May-14,12-May-14,30-Jun-14,ARV,Pediatric,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,3200,12000.0,3.75,0.06,Mylan (formerly Matrix) Nashik,Yes,166,1137.18,14.84,1137.18,166
1113,85521,111-MZ-T30,FPQ-13394,SO-47460,DN-3872,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,12/9/13,N/A - From RDC,30-Sep-14,27-Oct-14,7-Nov-14,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,90000,729900.0,8.11,0.14,Hetero Unit III Hyderabad IN,No,See DN-3872 (ID#:82726),See DN-3872 (ID#:82726),750.34,See DN-3872 (ID#:82726),See DN-3872 (ID#:82726)
1114,86496,151-NG-T30,FPQ-8952,SO-42800,DN-2765,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,12/8/11,N/A - From RDC,30-Jul-12,24-Jul-12,24-Jul-12,ARV,Adult,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,7000,92890.0,13.27,0.44,Mylan (formerly Matrix) Nashik,Yes,858,16532.5,130.23,16532.5,858
1115,84423,151-NG-T30,FPQ-14156,SO-48904,DN-3995,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,4/25/14,N/A - From RDC,31-Oct-14,30-Oct-14,3-Nov-14,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,76832,500944.64,6.52,0.11,Mylan (formerly Matrix) Nashik,Yes,6780,14251,514.97,14251,6780
1116,84992,101-CD-T30,FPQ-14576,SO-49290,DN-3975,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,7/14/14,N/A - From RDC,30-Jan-15,18-Feb-15,23-Feb-15,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,714,1499.4,2.1,0.01,"Cipla, Goa, India",No,See DN-3975 (ID#:82748),See DN-3975 (ID#:82748),1.54,24532.28,2187
1117,10727,130-NG-T01,Pre-PQ Process,SO-10580,DN-909,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,22-Sep-08,22-Sep-08,22-Sep-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,2066,7024.4,3.4,0.06,"Aurobindo Unit III, India",Yes,451,3487.94,11.24,3487.94,451
